type,name
tw_stime,lastActiveTime
tw_stime,lastLeakTime
tw_lpid,outputGID
stat_type,rcvdMsgCount
stat_type,SOPSCount
volt_type,membranePotential
thresh_type,posThreshold
thresh_type,negThreshold
id_type,dendriteLocal
random_type,drawnRandomNumber
random_type,thresholdPRNMask
id_type,myCoreID
id_type,myLocalID
short,largestRandomValue
short,lambda
short,resetMode
int,resetVoltage
volt_type,sigmaVR
short,encodedResetVoltage
short,omega
short,*neuronTypeDesc
char,sigma_l
char,delayVal
unsigned,firedLast
char,heartbeatOut
bool,isSelfFiring
bool,epsilon
bool,c
bool,kappa
bool,canGenerateSpontaniousSpikes
bool,axonTypes[512]
bool,synapticWeight[4]
char,synapticConnectivity[512]
